BROKERTITLE,TYPE, PRICE ,BEDS,BATH,PROPERTYSQFT,ADDRESS,Neighborhood/Boroughs,State,Zipcode,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,Buyer_FirstNames,Buyer_LastName,Buyer_Email,Buyer_Phone,Buyer_STREET,Buyer_UNIT,Buyer_CITY,Buyer_DISTRICT,Buyer_REGION,Buyer_Zipcode,Buyer_budget,Seller_FirstNames,Seller_LastNames,Seller_Email,Seller_Phone,Seller_STREET,Seller_UNIT,Seller_CITY,Seller_DISTRICT,Seller_REGION,Seller_Zipcode,Employee_Lastnames,Employee_Firstnames,Employees_phone,Employees_email,Start_date,Position, Salary , Commission ,Appointment_Date,Appointment_Time,Attendence,Property_id,Date_post,Property_status,Transaction_id,Transaction_date,Payment_status,Rating
COMPASS,Condo,"1,750,000.00",6,3,3364,1184 Nostrand Ave,Brooklyn,NY,11225,United States,New York,Kings County,Brooklyn,Nostrand Avenue,"1184 Nostrand Ave., Brooklyn, NY 11225, USA",40.6585715,-73.9507462,Oyebi, Madeleine,oyebimadeleine@example.com,143-029-7058,Sullivan Road,,Stockholm,St Lawrence,NY,13697,1860000,al-Jaber, Hanoona,aljaberhanoona@example.com,412-364-1349,Wood Creek Drive,,Pittsford,Monroe,NY,14534,el-Zaher, Tharwa,818-297-3958,elzahertharwa@example.com,12/21/17,Real Estate Advisor,"72,530.00","87,500.00",10/10/17,10:56:28 AM,TRUE,3768,7/29/17,Withdrawn,3768,6/7/22,Canceled,2
Awaye Realty,Multi-family,"2,100,000.00",3,3,2000,155 W 9th St,Brooklyn,NY,11231,United States,New York,Kings County,Brooklyn,West 9th Street,"155 W 9th St, Brooklyn, NY 11231, USA",40.6756187,-74.0002793,Patton, Drew,pattondrew@example.com,137-158-4146,Cardinal Lane,,Canadice,Ontario,NY,14560,2160000,Watkins, Isaac,watkinsisaac@example.com,326-013-2152,Carl Street,,Buffalo,Erie,NY,14215,Ventura, Carrena,908-270-9971,venturacarrena@example.com,9/7/22,Buyer Agent,"119,697.00","105,000.00",4/10/15,10:39:31 AM,TRUE,3769,2/15/10,Under Contract,3769,5/8/17,Completed,2
Douglas Elliman - Bayside,Co-op,"205,900.00",1,1,750,125-10 Queens Blvd Unit 821,Kew Gardens,NY,11415,New York,Queens County,The Bronx,Kew Gardens,125,"125 Queens Blvd # 10, Bronx, NY 10452, USA",40.7119297,-73.826361,el-Sahli, Layaali,elsahlilayaali@example.com,191-472-7609,Jewett Holmwood Road,,Aurora,Erie,NY,14052,192000,Trujillo, Adan,trujilloadan@example.com,100-333-9844,Lincoln Avenue,,Islip,Suffolk,NY,11741,Vigil, Dehjine,663-396-5249,vigildehjine@example.com,10/2/17,Sales Associate,"89,354.00","10,295.00",3/28/22,3:51:56 PM,TRUE,3770,11/26/21,Pending,3770,7/24/22,Completed,1
"Behfar Team, Llc",Co-op,"265,000.00",1,1,765,1250 Ocean Pkwy Apt 2C,Brooklyn,NY,11230,New York,Kings County,Brooklyn,Midwood,1250,"1250 Ocean Pkwy #2c, Brooklyn, NY 11230, USA",40.6180698,-73.9699744,Hernandez, Chase,hernandezchase@example.com,218-809-3611,Gina Avenue,,Islip,Suffolk,NY,11741,264000,Long, Isaia,longisaia@example.com,032-021-1668,Spanish Trail,Unit E,Greece,Monroe,NY,14612,Hurla, Tellico,891-758-2257,hurlatellico@example.com,5/23/19,Sales Associate,"250,000.00","13,250.00",5/9/19,9:00:20 AM,TRUE,3771,10/18/17,Active,3771,10/15/20,Completed,3
Douglas Elliman - Merrick,Co-op,"169,999.00",1,1,2184.207862,153-25 88th St Unit 2F,Howard Beach,NY,11414,New York,Queens County,Queens,Howard Beach,153-25,"153-25 88th St #2f, Howard Beach, NY 11414, USA",40.6661012,-73.8471882,Guss, Jeremiah,gussjeremiah@example.com,110-619-4215,Kimball Avenue,Apartment 2,Yonkers,Westchester,NY,10704,168000,Jones, Jacqueline,jonesjacqueline@example.com,011-748-0893,Heath Street,Apartment 2,Buffalo,Erie,NY,14214,Lagesse, Alycia,314-464-5329,lagessealycia@example.com,4/28/16,Buyer Agent,"175,944.00","8,499.95",10/31/18,11:15:34 AM,TRUE,3772,8/17/18,Withdrawn,3772,11/8/18,Canceled,3
Keller Williams Realty NYC Grp,House,"775,000.00",3,1,1696,1217 Fairfax Ave,Bronx,NY,10465,United States,New York,Bronx County,The Bronx,Fairfax Avenue,"1217 Fairfax Ave, Bronx, NY 10465, USA",40.8377397,-73.8241472,el-Hakeem, Shaheed,elhakeemshaheed@example.com,216-808-3369,Keyland Court,,Islip,Suffolk,NY,11716,773000,Elep, Dhwani,elepdhwani@example.com,171-919-5388,South Erie Street,Apartment 5,Chautauqua,Chautauqua,NY,14757,Cox, Jocelyn,697-836-3483,coxjocelyn@example.com,1/17/22,Lead Negotiator,"74,715.00","38,750.00",6/4/21,12:26:02 PM,FALSE,3773,3/30/21,Active,3773,8/20/21,Completed,2
RE MAX Real Estate Professionals,House,"685,000.00",4,2,2269,263 Richmond Hill Rd,Staten Island,NY,10314,United States,New York,Richmond County,Staten Island,Richmond Hill Road,"263 Richmond Hill Rd, Staten Island, NY 10314, USA",40.5849183,-74.1599388,Ross, Dilan,rossdilan@example.com,193-466-3731,Union Avenue,Lot 5,Saratoga Springs,Saratoga,NY,12866,654000,Mace, Samuel,macesamuel@example.com,196-653-6691,Brompton Road,,Hempstead,Nassau,NY,11530,Sugar, Simone,895-162-6811,sugarsimone@example.com,8/14/18,Buyer Agent,"114,553.00","34,250.00",9/13/14,11:26:53 AM,TRUE,3774,2/11/13,Under Contract,3774,6/20/18,Completed,2
Corcoran Chelsea/Flatiron,Co-op,"699,000.00",1,1,700,12 W 72nd St Apt 7H,New York,NY,10023,New York,New York County,New York,Manhattan,12,"12 W 72nd St #7h, New York, NY 10023, USA",40.776434,-73.9771489,Burton, Michael,burtonmichael@example.com,197-524-5096,Pressler Road,,Newburgh,Orange,NY,12589,724000,Ross, Marcus,rossmarcus@example.com,078-709-8087,Northern Boulevard,,North Hempstead,Nassau,NY,11021,al-Moustafa, Abdullah,967-363-2700,almoustafaabdullah@example.com,7/13/22,Lead Negotiator,"70,679.00","34,950.00",12/27/22,1:28:03 PM,TRUE,3775,12/26/22,Withdrawn,3775,12/27/22,Canceled,3
COMPASS,Pending,"420,000.00",1,1,2184.207862,18 E 63rd St Apt 9,Manhattan,NY,10065,New York,New York County,New York,Manhattan,18,"18 E 63rd St Apt 9, New York, NY 10065, USA",40.7661564,-73.9700846,el-Kazi, Maajida,elkazimaajida@example.com,387-076-9497,2nd Street,Apartment 1,Troy,Rensselaer,NY,12180,374000,Gannaway, Tyler,gannawaytyler@example.com,680-750-1541,Schaffer Avenue,Apartment 10,Salina,Onondaga,NY,13206,el-Suleiman, Zubair,935-842-8150,elsuleimanzubair@example.com,11/23/23,Sales Associate,"250,000.00","21,000.00",6/7/22,10:51:21 AM,FALSE,3776,7/17/11,Withdrawn,3776,10/17/22,Pending,3
Accomplish Realty Llc,Multi-family,"1,245,000.00",7,6,2184.207862,32-13 112th St,East Elmhurst,NY,11369,United States,New York,Queens County,Queens,112th Street,"32-13 112th St, East Elmhurst, NY 11369, USA",40.7591289,-73.8579008,Carroll, Haley,carrollhaley@example.com,951-332-6665,South Hamilton Street,Apartment 4,Poughkeepsie,Dutchess,NY,12601,1290000,Yamamoto, Alan,yamamotoalan@example.com,141-473-7101,Lower Pace Road,,Erwin,Steuben,NY,14830,Wilson, Justice,534-842-8278,wilsonjustice@example.com,11/18/22,Lead Negotiator,"50,000.00","62,250.00",8/22/16,4:26:06 PM,TRUE,3777,8/22/05,Sold,3777,12/31/18,Completed,5
Sotheby's International Realty - Downtown Manhattan,Co-op,"795,000.00",1,1,2184.207862,363 E 76th St Apt 14M,New York,NY,10021,New York,New York County,New York,Manhattan,363,"363 E 76th St #14b, New York, NY 10021, USA",40.7707242,-73.9542132,Whitelance III, Istiaq,whitelanceiiiistiaq@example.com,157-388-1932,Clute Road,,Cortlandville,Cortland,NY,13045,768000,Lian, Mariko,lianmariko@example.com,219-254-2644,Burt Street,,Syracuse,Onondaga,NY,13202,Malchow, John,283-723-5566,malchowjohn@example.com,1/5/22,Real Estate Advisor,"250,000.00","39,750.00",7/30/07,2:02:38 PM,FALSE,3778,12/20/06,Under Contract,3778,6/27/12,Completed,2
The Bouklis Group - The Bouklis Group Astoria,Condo,"445,000.00",3,1,402,25-74 34th St Unit 1C,Astoria,NY,11103,New York,Queens County,Queens,Long Island City,25-74,"25-74 34th St #1c, Long Island City, NY 11103, USA",40.7680157,-73.9174508,al-Mattar, Jubair,almattarjubair@example.com,332-614-7752,North Central Avenue,,Greenburgh,Westchester,NY,10530,430000,Schmidt, Meredith,schmidtmeredith@example.com,113-834-2850,Hunns Lake Road,,Stanford,Dutchess,NY,12581,Roland, Samantha,441-482-8394,rolandsamantha@example.com,4/20/21,Buyer Agent,"174,442.00","22,250.00",2/11/21,3:28:41 PM,TRUE,3779,7/21/18,Pending,3779,12/19/21,Completed,2
CENTURY 21 Homefront,Co-op,"399,000.00",2,1,960,464 Neptune Ave Apt 2C,Brooklyn,NY,11224,New York,Kings County,Brooklyn,Coney Island,464,"464 Neptune Ave #2c, Brooklyn, NY 11224, USA",40.5792324,-73.9713245,el-Aslam, Zufar,elaslamzufar@example.com,147-228-6085,Willow Avenue,,Niagara Falls,Niagara,NY,14305,427000,al-Mahmood, Zaghlool,almahmoodzaghlool@example.com,042-493-6311,Stanley Street,,Schenectady,Schenectady,NY,12307,el-Usman, Abdul Lateef,278-690-1798,elusmanabdullateef@example.com,6/22/15,Lead Negotiator,"250,000.00","19,950.00",9/9/21,1:28:27 PM,TRUE,3780,8/13/21,Under Contract,3780,10/1/21,Completed,2
Excellent Realty Llc,Multi-family,"1,990,000.00",6,5,2150,204-18 46 Ave,Bayside,NY,11361,United States,New York,Queens County,Queens,46th Avenue,"204-18 46th Ave, Bayside, NY 11361, USA",40.7557556,-73.7774071,Lovato, Darrell,lovatodarrell@example.com,166-109-3623,Canton Meadow,,Perinton,Monroe,NY,14450,1900000,Cardoza, Taju,cardozataju@example.com,123-466-7344,Stoneway Street,,Clarence,Erie,NY,14031,Contino, Urey,529-468-6005,continourey@example.com,2/20/18,Lead Negotiator,"95,161.00","99,500.00",3/26/05,3:44:52 PM,TRUE,3781,3/13/05,Sold,3781,3/27/05,Completed,5
Brown Harris Stevens,Co-op,"529,000.00",2,1,2184.207862,100 Overlook Terrace Ter Unit 312,Manhattan,NY,10040,New York,New York County,New York,Manhattan,100,"100 Overlook Terrace Apt 312, New York, NY 10040, USA",40.8558902,-73.9351781,Erfman, Madison,erfmanmadison@example.com,687-195-6137,Burt Street,,Saugerties,Ulster,NY,12477,476000,Gonzalez-Bejarano, Nancy,gonzalezbejaranonancy@example.com,329-578-2778,Kensington Avenue,,Buffalo,Erie,NY,14215,Ahmed Naji, Marissa,787-916-7733,ahmednajimarissa@example.com,1/8/20,Buyer Agent,"50,000.00","26,450.00",6/5/07,4:49:16 PM,TRUE,3782,5/6/07,Pending,3782,12/21/10,Completed,2
Corcoran West Side,Co-op,"7,500,000.00",6,6,4200,1045 Park Ave # 10AB,New York,NY,10028,New York,New York County,New York,Manhattan,1045,"1045 Park Ave #10a, New York, NY 10028, USA",40.7802712,-73.9567847,Begay, Desiree,begaydesiree@example.com,136-703-6525,Main Street,,Sweden,Monroe,NY,14420,6590000,Fletcher, Huseen,fletcherhuseen@example.com,791-640-8154,Hudson Avenue,,Hempstead,Nassau,NY,11575,Holloway, Rashaan,437-956-9259,hollowayrashaan@example.com,9/29/17,Lead Negotiator,"83,569.00","375,000.00",7/12/18,4:51:47 PM,TRUE,3783,10/26/08,Active,3783,7/31/20,Completed,2
Corcoran Chelsea/Flatiron,Co-op,"595,000.00",1,1,2184.207862,160 Cabrini Blvd Apt 73,New York,NY,10033,New York,New York County,New York,Manhattan,160,"160 Cabrini Blvd Apt 73, New York, NY 10033, USA",40.8540347,-73.9393276,al-Mahmoud, Suhaad,almahmoudsuhaad@example.com,343-990-9308,Arielle Court,,Islip,Suffolk,NY,11749,634000,Fernandez, Shaylynn,fernandezshaylynn@example.com,299-157-2919,Oakdale Place,,Oyster Bay,Nassau,NY,11762,Eide, Chase,405-475-4886,eidechase@example.com,12/13/16,Buyer Agent,"50,000.00","29,750.00",7/8/13,1:27:36 PM,TRUE,3784,8/19/09,Sold,3784,6/8/16,Completed,5
Douglas Elliman - 664 Fulton,Co-op,"525,000.00",3,2,2184.207862,458 Neptune Ave Apt 3R,Brooklyn,NY,11224,New York,Kings County,Brooklyn,Coney Island,458,"458 Neptune Ave #3r, Brooklyn, NY 11224, USA",40.5794182,-73.9709078,Wallerstedt, Tyler,wallerstedttyler@example.com,074-424-5296,New Tudor Road,,Henrietta,Monroe,NY,14534,402000,Garcia, Esmeralda,garciaesmeralda@example.com,878-623-0250,Hilltop Road,,Hempstead,Nassau,NY,11756,el-Badie, Amjad,974-856-1450,elbadieamjad@example.com,7/21/23,Lead Negotiator,"134,055.00","26,250.00",11/14/19,3:03:05 PM,TRUE,3785,3/28/18,Sold,3785,6/9/20,Completed,5
USREALTY   .com,Co-op,"479,000.00",2,1,1100,2932 W 5th St Apt 17C,Brooklyn,NY,11224,New York,Kings County,Brooklyn,Coney Island,2932,"2932 W 5th St #17c, Brooklyn, NY 11224, USA",40.5778092,-73.9728288,Zhong, Sylvia,zhongsylvia@example.com,090-961-2264,Lincoln Boulevard,,Long Beach,Nassau,NY,11561,459000,Phan, Linh,phanlinh@example.com,846-543-0684,Neer Road,,Fremont,Sullivan,NY,12760,Herman, Bruce,276-560-7950,hermanbruce@example.com,4/17/20,Listing Specialist,"70,263.00","23,950.00",9/29/20,10:54:15 AM,TRUE,3786,4/24/20,Under Contract,3786,4/1/21,Completed,3
Brown Harris Stevens - 1926 Broadway,Co-op,"4,995,000.00",4,4,5500,485 Park Avenue Ave Unit 11FLR,Manhattan,NY,10022,United States,New York,New York County,New York,Park Avenue,"485 Park Ave, New York, NY 10022, USA",40.7622996,-73.9698344,Cooley, Reatea,cooleyreatea@example.com,972-221-1318,West Northrup Place,,Buffalo,Erie,NY,14214,5080000,Estes, Alexander,estesalexander@example.com,082-897-5355,Lafayette Road,,Babylon,Suffolk,NY,11704,Lee, Samuel,954-801-3311,leesamuel@example.com,5/24/19,Sales Associate,"150,699.00","249,750.00",10/13/19,10:26:38 AM,TRUE,3787,8/2/17,Sold,3787,3/10/22,Completed,3
COMPASS,Co-op,"460,000.00",2,1,2184.207862,151 W 106th St Apt 5B,Manhattan,NY,10025,New York,New York County,New York,Manhattan,151,"151 W 106th St #5b, New York, NY 10025, USA",40.8002612,-73.9648347,Jelly, Nigel,jellynigel@example.com,951-721-5766,Saul Trail,,Plattekill,Ulster,NY,12589,396000,Pham, Nhat Phuong,phamnhatphuong@example.com,101-264-9673,Old Coach Road,,Queensbury,Warren,NY,12804,Thomas, Cody,814-676-8759,thomascody@example.com,5/27/20,Lead Negotiator,"211,342.00","23,000.00",10/26/07,11:24:24 AM,TRUE,3788,2/27/06,Active,3788,4/17/14,Completed,3
Ivey North Llc,House,"1,200,000.00",4,2,2184.207862,46-36 206 St,Bayside,NY,11361,United States,New York,Queens County,Queens,206th Street,"46-36 206th St, Flushing, NY 11361, USA",40.75515,-73.7757869,Mosier, Kenzie,mosierkenzie@example.com,408-742-9686,McCombe Drive,,Bethlehem,Albany,NY,12054,1200000,Higgs, Wasim,higgswasim@example.com,098-105-4947,Kennette Road,,Colonie,Albany,NY,12110,Nay, Corey,373-985-5770,naycorey@example.com,4/1/21,Real Estate Advisor,"105,493.00","60,000.00",8/5/21,12:32:19 PM,TRUE,3789,10/20/20,Pending,3789,8/8/21,Completed,3
Sotheby's International Realty - East Side Manhattan Brokerage,Condo,"5,950,000.00",2,2,1853,173 Perry St # 8N,New York,NY,10014,New York,New York County,New York,Manhattan,173,"173 Perry St #8b, New York, NY 10014, USA",40.7347565,-74.0097145,al-Javid, Junaid,aljavidjunaid@example.com,993-979-3350,County Route 24,,Bellmont,Franklin,NY,12953,6340000,Cofield, Darius,cofielddarius@example.com,316-333-7185,City Street,Apartment 3,Utica,Oneida,NY,13502,Last, Rhaeanna,711-803-5701,lastrhaeanna@example.com,8/19/20,Buyer Agent,"77,329.00","297,500.00",7/27/14,12:04:21 PM,FALSE,3790,10/15/12,Active,3790,12/25/14,Completed,2
COMPASS,Condo,"599,000.00",1,1,626,333 E 109th St Apt 2A,Manhattan,NY,10029,New York,New York County,New York,Manhattan,333,"333 E 109th St #2a, New York, NY 10029, USA",40.7920582,-73.9393346,Henderson, Jonathan,hendersonjonathan@example.com,381-109-2038,Widgeon Walk,,Brookhaven,Suffolk,NY,11782,489000,Jaeger, Olivia,jaegerolivia@example.com,089-448-7877,Stockbridge Road,,Mount Kisco,Westchester,NY,10549,el-Suleiman, Zubair,935-842-8150,elsuleimanzubair@example.com,11/23/23,Sales Associate,"250,000.00","29,950.00",11/6/07,2:48:19 PM,TRUE,3791,5/15/06,Pending,3791,1/28/12,Completed,3
COMPASS,Co-op,"350,000.00",3,1,2184.207862,155 E 49th St Unit 5F,Manhattan,NY,10017,New York,New York County,New York,Manhattan,155,"155 E 49th St #5b, New York, NY 10017, USA",40.7556998,-73.9717539,Compton, Bobbie,comptonbobbie@example.com,832-543-9572,St Clair Street,,Ticonderoga,Essex,NY,12883,318000,Thammarath, Taylor,thammarathtaylor@example.com,169-133-0716,Clinton Street,Apartment 102,Buffalo,Erie,NY,14204,Gardella, Dale,394-866-8512,gardelladale@example.com,7/30/15,Real Estate Advisor,"50,000.00","17,500.00",6/26/15,4:57:48 PM,FALSE,3792,1/29/14,Withdrawn,3792,7/30/18,Canceled,2
Oxford Property Group,Condo,"420,000.00",1,1,668,120 Ocean View Ave Unit 2C,Brooklyn,NY,11235,New York,Kings County,Brooklyn,Brighton Beach,120,"120 Ocean View Ave #2c, Brooklyn, NY 11235, USA",40.5783101,-73.9670934,Chambers, Brandon,chambersbrandon@example.com,236-015-7604,Williamsburg Road,,Utica,Oneida,NY,13502,494000,Lapitan, Fayeza,lapitanfayeza@example.com,289-770-2912,Country Estates,,Dansville,Steuben,NY,14807,Jelks, Dashawn,657-890-4300,jelksdashawn@example.com,5/22/17,Real Estate Advisor,"152,588.00","21,000.00",9/15/09,11:26:07 AM,TRUE,3793,5/16/07,Active,3793,8/26/11,Completed,3
Weichert Properties,Contingent,"2,400,000.00",3,2,3248,891 Montgomery St,Brooklyn,NY,11213,United States,New York,Kings County,Brooklyn,Montgomery Street,"891 Montgomery St, Brooklyn, NY 11213, USA",40.6647715,-73.9353047,Dysart, Sammy,dysartsammy@example.com,144-454-1077,Ketchum Avenue,,Newfane,Niagara,NY,14108,2240000,Murdoch, Sydney,murdochsydney@example.com,779-247-8427,Bear Road,,Clay,Onondaga,NY,13212,De La Cruz, Erick,949-105-9618,delacruzerick@example.com,5/13/21,Lead Negotiator,"50,000.00","120,000.00",8/5/17,9:57:14 AM,TRUE,3794,3/18/16,Withdrawn,3794,12/23/22,Canceled,3
Corcoran Park Avenue South,Co-op,"2,199,000.00",2,2,1770,565 W End Ave Apt 11D,New York,NY,10024,New York,New York County,New York,Manhattan,565,"565 West End Ave #11d, New York, NY 10024, USA",40.7899034,-73.9774703,Garman, Noel,garmannoel@example.com,193-621-5230,Chapel Hill Drive,,Islip,Suffolk,NY,11717,1980000,Price, Raeven,priceraeven@example.com,936-836-7190,Freshour Road,,Hopewell,Ontario,NY,14424,Saucedo, Edgar,239-810-6378,saucedoedgar@example.com,11/7/18,Listing Specialist,"130,405.00","109,950.00",3/28/20,10:40:52 AM,TRUE,3795,8/18/18,Sold,3795,11/21/21,Completed,4
Brown Harris Stevens - 130 Fifth Avenue,Co-op,"595,000.00",1,1,700,425 E 51st St Apt 2G,Manhattan,NY,10022,New York,New York County,New York,Manhattan,425,"425 E 51st St #2b, New York, NY 10022, USA",40.754338,-73.964711,el-Turay, Afaaf,elturayafaaf@example.com,269-970-9531,Buffalo Road,Apartment 2,Aurora,Erie,NY,14052,543000,Gary, Jonathan,garyjonathan@example.com,897-092-4830,Kime Avenue,,Babylon,Suffolk,NY,11703,Brewster, Kyle,659-559-1527,brewsterkyle@example.com,8/24/15,Sales Associate,"61,055.00","29,750.00",12/18/14,11:52:01 AM,TRUE,3796,2/17/12,Under Contract,3796,6/20/16,Completed,2
KORR REALTY,Co-op,"249,000.00",2,1,1000,2465 Haring St Apt 4D,Brooklyn,NY,11235,New York,Kings County,Brooklyn,Sheepshead Bay,2465,"2465 Haring St #4d, Brooklyn, NY 11235, USA",40.5926635,-73.9388739,el-Rayes, Hiba,elrayeshiba@example.com,473-231-8539,Lincoln Avenue,,Cortland,Cortland,NY,13045,238000,Miles-Groce, Heleena,milesgroceheleena@example.com,378-450-4303,Norman Street,,Campbell,Steuben,NY,14870,Schlabaugh, Elexis,859-989-6452,schlabaughelexis@example.com,1/10/16,Real Estate Advisor,"138,369.00","12,450.00",1/5/21,9:35:24 AM,TRUE,3797,1/30/19,Pending,3797,1/21/22,Completed,2
COMPASS,Condo,"11,000,000.00",4,4,3452,177 9th Ave Ph A,Manhattan,NY,10011,United States,New York,New York County,New York,9th Avenue,"177 9th Ave, New York, NY 10011, USA",40.7450569,-74.0027927,Vasquez, Mariah,vasquezmariah@example.com,394-379-9747,West Genesee Street,,Camillus,Onondaga,NY,13031,11200000,Myers, Clee,myersclee@example.com,015-385-3602,Kenneth Road,,Hempstead,Nassau,NY,11566,al-Toure, Nadheera,801-913-9560,altourenadheera@example.com,8/6/17,Buyer Agent,"250,000.00","550,000.00",2/15/19,1:04:39 PM,TRUE,3798,5/19/18,Pending,3798,5/30/19,Completed,2
Corcoran Chelsea/Flatiron,Co-op,"585,000.00",1,1,2184.207862,900 W 190th St Apt 14S,New York,NY,10040,New York,New York County,New York,Manhattan,900,"900 W 190th St #14d, New York, NY 10040, USA",40.8570262,-73.9361002,Ruiz, Hasan,ruizhasan@example.com,183-665-1347,East Hartsdale Avenue,Apartment 619,Greenburgh,Westchester,NY,10530,543000,Church, Megan,churchmegan@example.com,258-128-9563,Church Street,Apartment 8,Hempstead,Nassau,NY,11565,Bausch, Katherine,951-354-2125,bauschkatherine@example.com,4/19/21,Listing Specialist,"230,983.00","29,250.00",2/23/15,10:41:43 AM,TRUE,3799,5/8/14,Sold,3799,8/8/15,Completed,5
P R O Links Realty Inc,Multi-family,"1,180,000.00",8,4,3321,1246 Stratford Ave,Bronx,NY,10472,United States,New York,Bronx County,The Bronx,Stratford Avenue,"1246 Stratford Ave, Bronx, NY 10472, USA",40.8307543,-73.8757325,al-Yassin, Atiyya,alyassinatiyya@example.com,058-578-0159,Duanesburg Churches Road,,Duanesburg,Schenectady,NY,12053,1200000,Xiong, Johnson,xiongjohnson@example.com,097-758-6502,Kehr Street,,Buffalo,Erie,NY,14211,Smith, Rachel,668-910-8711,smithrachel@example.com,7/7/23,Sales Associate,"72,776.00","59,000.00",2/28/14,1:09:52 PM,TRUE,3800,3/20/12,Active,3800,2/7/16,Completed,3
Coldwell Banker Signature Prop,Co-op,"115,000.00",3,1,550,306 E Mosholu Pkwy S Apt 5C,Bronx,NY,10458,New York,Bronx County,The Bronx,West Bronx,306,"306 E Mosholu Pkwy S #5c, Bronx, NY 10458, USA",40.8716219,-73.8826018,Villanueva, Janeah,villanuevajaneah@example.com,005-802-0467,State Route 12E,,Cape Vincent,Jefferson,NY,13618,123000,Swimmer, Alejandra,swimmeralejandra@example.com,101-699-1222,South Harrison Avenue,,Clarkstown,Rockland,NY,10920,Bond, Kathryn,805-319-2105,bondkathryn@example.com,6/14/18,Real Estate Advisor,"53,962.00","5,750.00",1/25/10,12:33:06 PM,TRUE,3801,7/25/09,Under Contract,3801,10/29/10,Completed,2
Brown Harris Stevens,Condo,"779,000.00",1,1,638,250 E 30th St Apt 6B,Manhattan,NY,10016,New York,New York County,New York,Manhattan,250,"250 E 30th St #6b, New York, NY 10016, USA",40.7422824,-73.9781111,Minutolo, Vicky,minutolovicky@example.com,885-221-7249,Park Avenue,,Cheektowaga,Erie,NY,14043,805000,Brown Flores, Surafale,brownfloressurafale@example.com,069-583-6369,Thelma Place,,Babylon,Suffolk,NY,11729,Mickelson, Clint,462-581-4218,mickelsonclint@example.com,4/10/17,Lead Negotiator,"134,646.00","38,950.00",8/3/19,9:06:59 AM,FALSE,3802,5/25/17,Withdrawn,3802,7/8/20,Canceled,3
RE MAX Edge,Multi-family,"1,850,000.00",12,7,4719,715 55th St,Brooklyn,NY,11220,United States,New York,Kings County,Brooklyn,55th Street,"715 55th St, Brooklyn, NY 11220, USA",40.6395826,-74.0081915,Harvey, Tiara,harveytiara@example.com,389-154-4733,Parkside Street,,Islip,Suffolk,NY,11741,1980000,Hudson, Alexandra,hudsonalexandra@example.com,733-598-3192,Carboy Road,,Mount Hope,Orange,NY,10940,el-Hadi, Waseem,645-872-8055,elhadiwaseem@example.com,3/13/16,Lead Negotiator,"250,000.00","92,500.00",2/11/16,10:56:24 AM,TRUE,3803,6/24/15,Active,3803,4/11/18,Completed,3
Engel & V�������,Condo,"9,975,000.00",3,3,2241,15 Central Park W Apt 16G,New York,NY,10023,New York County,New York,Manhattan,Central Park West,15 Central Park West,"15 Central Park West, 15 Central Park W #16g, New York, NY 10023, USA",40.7697189,-73.9810746,Jones, Keearra,joneskeearra@example.com,118-508-9768,Glenhaven Drive,,Amherst,Erie,NY,14228,9170000,el-Neman, Abdul Kareem,elnemanabdulkareem@example.com,878-190-6532,Green Lake Drive,Lot 84,Orchard Park,Erie,NY,14127,Harline, Jonah,830-498-4277,harlinejonah@example.com,8/1/18,Listing Specialist,"54,548.00","498,750.00",5/30/14,10:54:01 AM,TRUE,3804,3/15/07,Under Contract,3804,9/18/14,Completed,2
Dom Realty of NY Inc,Townhouse,"925,000.00",3,2,1875,69-33 169 St,Fresh Meadows,NY,11365,United States,New York,Queens County,Queens,169th Street,"69-33 169th St, Flushing, NY 11365, USA",40.7318932,-73.8001903,Ung, Tanay,ungtanay@example.com,808-781-1454,Bouck Street,,Dannemora,Clinton,NY,12918,913000,Warren, Wallace,warrenwallace@example.com,186-550-7266,Rumsey Street,,Bath,Steuben,NY,14810,Cushing, Hannah,857-809-1700,cushinghannah@example.com,1/2/21,Listing Specialist,"50,000.00","46,250.00",7/23/16,10:37:13 AM,TRUE,3805,2/9/06,Withdrawn,3805,1/30/17,Canceled,3
COMPASS,Pending,"360,000.00",1,1,2184.207862,425 E 78th St Apt 1C,Manhattan,NY,10075,New York,New York County,New York,Manhattan,425,"425 E 78th St #1c, New York, NY 10075, USA",40.7711911,-73.9516646,Gutierrez Anchondo, Destanie,gutierrezanchondodestanie@example.com,553-827-4998,Hewes Road,,Chautauqua,Chautauqua,NY,14757,383000,Moon, Erdenebadruun,moonerdenebadruun@example.com,016-890-0911,State Route 9N,,Lake George,Warren,NY,12845,Domer, Smokey,436-840-8695,domersmokey@example.com,3/8/22,Lead Negotiator,"82,105.00","18,000.00",7/26/20,3:54:08 PM,TRUE,3806,12/24/16,Sold,3806,8/4/21,Pending,5
